ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-AF60EAFE,"printer on 5th floor showing offline, tried restart",Incident,Printer Not Working,P3-Medium,Manager,Design,2025-04-02T19:51:35
TCK-30F7A3FF,Need enterprise license upgrade for WinSCP for 7 users,Service Request,Software License Request,P4-Low,Associate,Finance,2025-09-20T14:44:26
TCK-DBF29553,"new hire joining HR on for the past 2 days, needs full IT setup",Admin,Employee Onboarding Setup,P2-High,Senior Manager,Legal,2025-06-02T00:16:26
TCK-329EC6A0,Need a new shared mailbox created for Sales team,Service Request,Distribution List / Mailbox Request,P3-Medium,Team Lead,Customer Support,2026-05-11T23:59:40
TCK-C874268F,"forgot my password, need a reset at the earliest",Service Request,Password Reset,P2-High,Associate,Data Science,2026-02-05T02:49:06
TCK-FB5D300C,please prepare laptop + accounts for new Legal joiner,Admin,Employee Onboarding Setup,P3-Medium,Associate,Legal,2025-05-26T04:13:53
TCK-291A7340,requesting network change to allow Outlook traffic through proxy,Change Request,Firewall/Network Change,P3-Medium,Associate,Customer Support,2026-04-10T22:07:51
TCK-31F15078,RFC for production release of Postman v21.0 this sprint,Change Request,Application Deployment/Release,P2-High,Senior Associate,Finance,2026-05-24T07:59:30
TCK-A0EFA7A1,"employee last working day is this morning, please disable access",Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Manager,Design,2026-08-01T04:20:58
TCK-987FD036,Need access removed for a former team member on client SFTP,Service Request,Access/Permission Request,P4-Low,Associate,HR,2026-02-03T06:02:30
TCK-B6AD83C5,"Self-service password reset isnt working, need manual reset",Service Request,Password Reset,P2-High,Senior Associate,Procurement,2026-06-15T02:20:02
TCK-B166195D,"Zoom lost all my unsaved work after crashing, please help",Incident,Application Crash or Error,P2-High,Senior Manager,Procurement,2025-03-19T10:46:16
TCK-E65CECD9,"New hire joining QA on this morning, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Senior Associate,Procurement,2025-07-16T09:53:27
TCK-0E7DC7A9,onboarding checklist pending for new associate in Engineering,Admin,Employee Onboarding Setup,P3-Medium,Director,HR,2025-12-03T16:21:17
TCK-6D2F86F2,"mailbox full error, need cleanup or quota increase at the earliest",Incident,Email/Outlook Issue,P3-Medium,Associate,QA,2025-08-28T15:21:53
TCK-62F20EEB,"Our team's SAP GUI license renewal is due, please process",Service Request,Software Installation Request,P3-Medium,Associate,Data Science,2025-11-30T20:12:09
TCK-96EC0D36,Laptop overheating and shutting down randomly during submit the deliverable,Incident,Hardware Malfunction,P2-High,Associate,Sales,2026-01-03T11:59:01
TCK-3DBA0404,"Requesting a laptop bag/mouse replacement, old one damaged",Service Request,New Hardware/Peripheral Request,P1-Critical,Team Lead,HR,2025-12-06T13:25:29
TCK-86142E9C,Account shows 'disabled' when trying to sign in to analytics dashboard,Incident,Login/Authentication Failure,P2-High,Senior Manager,DevOps,2025-04-17T03:36:01
TCK-9013BDFB,Requesting additional MS Teams seat for new Legal hire,Service Request,Software License Request,P3-Medium,Associate,Procurement,2026-05-04T21:38:30
TCK-4A1A1B0A,Requesting additional Adobe Photoshop seat for new QA hire,Service Request,Software License Request,P3-Medium,Associate,Marketing,2026-01-02T10:01:04
TCK-34D9D8D6,Raising change request to resize compute for analytics dashboard before since last night,Change Request,Server Configuration Change,P2-High,Senior Associate,Sales,2025-10-28T02:51:53
TCK-6D47EC32,"hello, toner/ink warning on 7th floor printer, needs replacement",Incident,Printer Not Working,P4-Low,Senior Associate,Customer Support,2026-07-07T19:40:09
TCK-77612D02,"please grant access to analytics dashboard repo, approved by Nicole",Service Request,Access/Permission Request,P3-Medium,Associate,Data Science,2025-12-20T06:59:27
TCK-EE2B567D,Requesting additional Jira seat for new Finance hire,Service Request,Software License Request,P4-Low,Associate,HR,2026-09-12T15:47:47
TCK-E4B37462,requesting additional Anaconda seat for new Procurement hire,Service Request,Software License Request,P3-Medium,Manager,Procurement,2026-08-10T00:28:02
TCK-5BD30809,"Our team's Anaconda license renewal is due, please process",Service Request,Software License Request,P4-Low,Senior Associate,Engineering,2025-10-25T04:12:29
TCK-0AEDBB42,Outlook calendar not showing meeting invites from Sales team,Incident,Email/Outlook Issue,P2-High,Senior Manager,Legal,2025-09-11T05:09:43
TCK-B43F11BB,onboarding checklist pending for new associate in Procurement,Admin,Employee Onboarding Setup,P3-Medium,Senior Manager,DevOps,2026-01-03T15:41:31
TCK-A7B1D56B,"hello, my VPN keeps disconnecting every 10 mins, can't push code",Incident,Network/VPN Connectivity Issue,P1-Critical,Manager,Procurement,2026-07-21T03:38:32
TCK-52FFC169,"New hire joining Data Science on yesterday, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Director,Procurement,2025-07-18T17:43:03
TCK-F617273B,Need a new shared mailbox created for DevOps team,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Manager,DevOps,2025-08-24T03:07:10
TCK-075A9677,"employee last working day is yesterday, please disable access",Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Associate,Design,2026-09-10T12:30:15
TCK-BFCE066C,"requesting a laptop bag/mouse replacement, old one damaged",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,Procurement,2026-07-30T17:52:50
TCK-52424795,laptop overheating and shutting down randomly during export data,Incident,Hardware Malfunction,P2-High,Team Lead,Procurement,2026-07-20T14:28:43
TCK-63FD982C,"My VPN keeps disconnecting every 10 mins, can't start my shift",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Design,2025-09-20T13:13:55
